code,name,family
14Z,,BA146
PC24,Pilatus PC-24,Unknown
B463,BAe 146-300(QT),BA146
B350,Beech King Air 350C,Unknown
B789,Boeing 787-9 Dreamliner,B787
A388,Airbus A380-842,A380
E50P,Embraer Phenom 100,Unknown
B733,Boeing 737-3U3(SF),B737
B77W,Boeing 777-312(ER),B777
B38M,Boeing 737 MAX 8,B737
B738,Boeing 737-838,B737
320,,A320
A332,Airbus A330-202,A330
A333,Airbus A330-343,A330
B77W,Boeing 777-346(ER),B777
A320,Airbus A320-232,A320
B738,Boeing 737-8FE,B737
A359,Airbus A350-941,A350
B77W,Boeing 777-3B5(ER),B777
A333,Airbus A330-302,A330
A21N,Airbus A321-251NX,A320
A333,Airbus A330-303,A330
B712,Boeing 717-231,B717
B77W,Boeing 777-322(ER),B777
B77W,Boeing 777-323(ER),B777
SF34,Saab 340B+,S340
B788,Boeing 787-8 Dreamliner,B787
B77L,Boeing 777-233(LR),B777
SF3,,S340
SF34,Saab 340B,S340
DH8D,De Havilland Canada Dash 8-400,DHC8
A332,Airbus A330-243,A330
A321,Airbus A321-231(P2F),A320
DH8C,De Havilland Canada Dash 8-300,DHC8
A20N,Airbus A320-271N,A320
A332,Airbus A330-202(P2F),A330
A35K,Airbus A350-1041,A350
A21N,Airbus A321-271NX,A320
A321,Airbus A321-231,A320
B738,Boeing 737-8KG,B737
A339,Airbus A330-941,A330
A333,Airbus A330-323,A330
B712,Boeing 717-2K9,B717
A388,Airbus A380-841,A380
B77W,Boeing 777-367(ER),B777
B738,Boeing 737-8SA,B737
SF34,,S340
SWM,,Unknown
73H,,B737
JS32,BAe Jetstream 32,Unknown
DH4,,DHC8
33X,,A330
SW4,Fairchild Swearingen Metro 23,Unknown
C510,Cessna 510 Citation Mustang,Unknown
J32,,Unknown
B748,Boeing 747-8F,B747
77F,,B777
B77L,Boeing 777-F1H,B777
B77L,Boeing 777-FS2,B777
717,,B717
R44,Robinson R44 Clipper II,Unknown
DH8,,DHC8
DH3,,DHC8
789,,B787
A388,Airbus A380-861,A380
B737,Boeing 737-7FE,B737
B738,Boeing 737-81D,B737
B77W,Boeing 777-3FX(ER),B777
321,,A320
B77L,Boeing 777-F,B777
E90,,E190
332,,A330
B744,Boeing 747-412F(SCD),B747
32Q,,A320
333,,A330
76V,,B767
32X,,A320
14Y,,BA146
388,,A380
B789,,B787
77W,,B777
738,,B737
359,,A350
330,,A330
B462,BAe 146-200(QT),BA146
74Y,,B747
7S8,,B737
DH8B,De Havilland Canada Dash 8-200,DHC8
788,,B787
F2TH,Dassault Falcon 2000LX,Unknown
A388,,A380
74F,,B747
B462,,BA146
